Method,Parameter,Seed,Trial ID,QD Score,Coverage
flip_labels_asymmetric,0.05,1111,40,56.33069389898124,60.32
flip_labels_asymmetric,0.05,2222,40,57.02080653951346,59.32
flip_labels_asymmetric,0.05,3333,40,56.263934483139906,59.68
flip_labels_asymmetric,0.05,4444,40,36.14628288281115,37.64
flip_labels_asymmetric,0.05,Mean,Mean,51.44042945111144,54.239999999999995
flip_labels_asymmetric,0.05,STD,STD,8.835049729140138,9.590703832357665
flip_labels_asymmetric,0.1,1111,41,55.216837498072024,59.16
flip_labels_asymmetric,0.1,2222,41,55.566177255383984,58.04
flip_labels_asymmetric,0.1,3333,41,55.147523782555034,58.44
flip_labels_asymmetric,0.1,4444,41,50.07683080961866,52.28
flip_labels_asymmetric,0.1,Mean,Mean,54.00184233640742,56.98
flip_labels_asymmetric,0.1,STD,STD,2.271654597593421,2.7430639802964842
flip_labels_asymmetric,0.2,1111,42,54.736880444134364,58.12
flip_labels_asymmetric,0.2,2222,42,53.981062984381396,56.72
flip_labels_asymmetric,0.2,3333,42,54.36571747171957,57.96
flip_labels_asymmetric,0.2,4444,42,25.322466557590573,27.96
flip_labels_asymmetric,0.2,Mean,Mean,47.101531864456476,50.190000000000005
flip_labels_asymmetric,0.2,STD,STD,12.576988655285323,12.845929316324296
flip_labels_asymmetric,0.3,1111,43,52.79571028739267,56.0
flip_labels_asymmetric,0.3,2222,43,51.46444862336733,53.92
flip_labels_asymmetric,0.3,3333,43,52.12954742819262,54.72
flip_labels_asymmetric,0.3,4444,43,36.92835102160247,38.6
flip_labels_asymmetric,0.3,Mean,Mean,48.32951434013877,50.809999999999995
flip_labels_asymmetric,0.3,STD,STD,6.59927071132998,7.088377811601184
flip_labels_asymmetric,0.4,1111,44,13.950538355691611,17.6
flip_labels_asymmetric,0.4,2222,44,24.567427829761193,25.68
flip_labels_asymmetric,0.4,3333,44,44.02819661914681,45.8
flip_labels_asymmetric,0.4,4444,44,20.844406020862536,21.96
flip_labels_asymmetric,0.4,Mean,Mean,25.84764220636554,27.759999999999998
flip_labels_asymmetric,0.4,STD,STD,11.16629929707927,10.80085181825952
flip_labels_asymmetric,0.5,1111,45,18.211318602781525,20.68
